"context" "target"
"missions_localised_description_xyy_roguelike_kill_hlyjdf_dark	The" "Fallen"
"campaign_payload_ui_details_description_kill_hlyjdf_dark	Character" "killed:"
"effect_bundles_localised_title_dark_character_easy	[[img:pooled_resource_credibility]][[/img]]+500	false" ""
"effect_bundles_localised_title_dark_character_normal	[[img:pooled_resource_credibility]][[/img]]+700	false" ""
"effect_bundles_localised_title_dark_character_hard	[[img:pooled_resource_credibility]][[/img]]+1000	false" ""
"mission_text_xyy_roguelike_kill_hlyjci_dark	(Optional)" "Kill"
"mission_text_xyy_roguelike_kill_hlyjcj_dark	(Optional)" "Kill"
"mission_text_xyy_roguelike_kill_hlyjck_dark	(Optional)" "Kill"
"mission_text_xyy_roguelike_kill_hlyjcm_dark	(Optional)" "Kill"
"mission_text_xyy_roguelike_kill_hlyjcn_dark	(Optional)" "Kill"
"mission_text_xyy_roguelike_kill_hlyjcy_dark	(Optional)" "Kill"
"mission_text_xyy_roguelike_kill_hlyjda_dark	(Optional)" "Kill"
"mission_text_xyy_roguelike_kill_hlyjdi_dark	(Optional)" "Kill"
"mission_text_xyy_roguelike_kill_hlyjdf_dark	(Optional)" "Kill"
"map_pins_localised_title_hlyjci_dark	The" "Fallen"
"map_pins_localised_description_hlyjci_dark	Mission" "Objective	false"
"map_pins_localised_title_hlyjcj_dark	The" "Fallen"
"map_pins_localised_description_hlyjcj_dark	Mission" "Objective	false"
"map_pins_localised_title_hlyjck_dark	The" "Fallen"
"map_pins_localised_description_hlyjck_dark	Mission" "Objective	false"
"map_pins_localised_title_hlyjcm_dark	The" "Fallen"
"map_pins_localised_description_hlyjcm_dark	Mission" "Objective	false"
"map_pins_localised_title_hlyjcn_dark	The" "Fallen"
"map_pins_localised_description_hlyjcn_dark	Mission" "Objective	false"
"map_pins_localised_title_hlyjcy_dark	The" "Fallen"
"map_pins_localised_description_hlyjcy_dark	Mission" "Objective	false"
"map_pins_localised_title_hlyjda_dark	The" "Fallen"
"map_pins_localised_description_hlyjda_dark	Mission" "Objective	false"
"map_pins_localised_title_hlyjdi_dark	The" "Fallen"
"map_pins_localised_description_hlyjdi_dark	Mission" "Objective	false"
"map_pins_localised_title_hlyjdf_dark	The" "Fallen"
"map_pins_localised_description_hlyjdf_dark	Mission" "Objective	false"
"missions_localised_title_xyy_roguelike_kill_hlyjdt_dark	Hegemony:" "Defeat"
"missions_localised_description_xyy_roguelike_kill_hlyjdt_dark	Fallen" "Shenhe"
"campaign_payload_ui_details_description_kill_hlyjdt_dark	Character" "killed:"
"mission_text_xyy_roguelike_kill_hlyjdt_dark	(Optional)" "Kill"
"map_pins_localised_title_hlyjdt_dark	The" "Fallen"
"map_pins_localised_description_hlyjdt_dark	Mission" "Objective	false"
"effect_bundles_localised_title_xyy_roguelike_55	Treacherous	false" ""
"effect_bundles_localised_description_xyy_roguelike_55	All" "generals"
"mod_info_xyy_roguelike_55	All" "generals"
"effect_bundles_localised_title_xyy_roguelike_56	Blade" "I	false"
"effect_bundles_localised_description_xyy_roguelike_56	The" "forces'"
"mod_info_xyy_roguelike_56	[[b]]+10%[[/b]]" "Melee/Ranged"
"effect_bundles_localised_title_xyy_roguelike_57	Blade" "II	false"
"effect_bundles_localised_description_xyy_roguelike_57	The" "force's"
"mod_info_xyy_roguelike_57	[[b]]+20%[[/b]]" "Melee/Ranged"
"effect_bundles_localised_title_xyy_roguelike_58	Blade" "III	false"
"effect_bundles_localised_description_xyy_roguelike_58	The" "force's"
"mod_info_xyy_roguelike_58	[[b]]+40%[[/b]]" "Melee/Ranged"
"effect_bundles_localised_title_xyy_roguelike_59	Training" "I	false"
"effect_bundles_localised_description_xyy_roguelike_59	The" "forces'"
"mod_info_xyy_roguelike_59	[[b]]+5%[[/b]]" "Melee"
"effect_bundles_localised_title_xyy_roguelike_60	Training" "II	false"
"effect_bundles_localised_description_xyy_roguelike_60	The" "forces'"
"mod_info_xyy_roguelike_60	[[b]]+10%[[/b]]" "Melee"
"effect_bundles_localised_title_xyy_roguelike_61	Training" "III	false"
"effect_bundles_localised_description_xyy_roguelike_61	The" "forces'"
"mod_info_xyy_roguelike_61	[[b]]+20%[[/b]]" "Melee"
"effect_bundles_localised_title_xyy_roguelike_62	Burning	false" ""
"effect_bundles_localised_description_xyy_roguelike_62	All" "units"
"mod_info_xyy_roguelike_62	All" "units"
"effect_bundles_localised_title_xyy_roguelike_63	Enlist" "I	false"
"effect_bundles_localised_description_xyy_roguelike_63	All" "forces"
"mod_info_xyy_roguelike_63	" "[[b]]+5%[[/b]]"
"effect_bundles_localised_title_xyy_roguelike_64	Enlist" "II	false"
"effect_bundles_localised_description_xyy_roguelike_64	All" "forces"
"mod_info_xyy_roguelike_64	" "[[b]]+10%[[/b]]"
"effect_bundles_localised_title_xyy_roguelike_65	Enlist" "III	false"
"effect_bundles_localised_description_xyy_roguelike_65	All" "forces"
"mod_info_xyy_roguelike_65	" "[[b]]+20%[[/b]]"
"effect_bundles_localised_title_xyy_roguelike_66	Satisfactory	false" ""
"effect_bundles_localised_description_xyy_roguelike_66	Increased" "satisfaction"
"mod_info_xyy_roguelike_66	When" "a"
"effect_bundles_localised_title_xyy_roguelike_sima_yi	Wolf" "Vision	false"
"effect_bundles_localised_description_xyy_roguelike_sima_yi	Sima" "Yi"
"mod_info_xyy_roguelike_sima_yi	Sima" "Yi"
"effect_bundles_localised_title_xyy_roguelike_67	Ignoring" "Traps	false"
"effect_bundles_localised_description_xyy_roguelike_67	An" "ambush"
"mod_info_xyy_roguelike_67	In" "the"
"missions_localised_title_xyy_roguelike_kill_hlyjdy_dark	Hegemony:" "Defeat"
"missions_localised_description_xyy_roguelike_kill_hlyjdy_dark	Fallen" "Carlotta"
"campaign_payload_ui_details_description_kill_hlyjdy_dark	Character" "killed:"
"mission_text_xyy_roguelike_kill_hlyjdy_dark	(Optional)" "Kill"
"map_pins_localised_title_hlyjdy_dark	The" "Fallen"
"map_pins_localised_description_hlyjdy_dark	Mission" "Objective	false"
"mod_store_disble_reason_the_seven_kings_dead	[[col:effect_icon_supplement_negative]][[b]]This" "item"
"mod_store_disble_reason_already_have_character	[[col:effect_icon_supplement_negative]][[b]]This" "item"
"mod_store_disble_reason_character_dead	[[col:effect_icon_supplement_negative]][[b]]This" "item"
"effect_bundles_localised_title_xyy_roguelike_enemy_earth	“Destiny”	false" ""
"effect_bundles_localised_description_xyy_roguelike_enemy_earth	The" "enemy"
"mod_info_xyy_roguelike_enemy_earth	非玩家派系腐败减少，公共秩序增加；战场上表现为不溃和远程抗性，但抵抗冲锋能力大幅削弱。\\n\\n•" "对远程单位和依赖远程攻击和技能的武将会很不友好\\n\\n•"
"effect_bundles_localised_title_xyy_roguelike_enemy_wood	“Courage”	false" ""
"effect_bundles_localised_description_xyy_roguelike_enemy_wood	The" "enemy"
"mod_info_xyy_roguelike_enemy_wood	非玩家派系军队补给增加，支援范围增加；战场上表现为更高的武将格斗能力，但士兵能力大幅削弱。\\n\\n•" "敌方武将会增强自身与周围士兵的作战能力\\n\\n•"
"effect_bundles_localised_title_xyy_roguelike_enemy_metal	“Entrench”	false" ""
"effect_bundles_localised_description_xyy_roguelike_enemy_metal	The" "enemy"
"mod_info_xyy_roguelike_enemy_metal	非玩家派系军队补员增加，防守时不溃；战场上表现为更高的防御水平，但进攻能力大幅削弱。\\n\\n•" "敌方士兵惧怕武将\\n\\n•"
"effect_bundles_localised_title_xyy_roguelike_enemy_fire	“Breakout”	false" ""
"effect_bundles_localised_description_xyy_roguelike_enemy_fire	Enemies" "have"
"mod_info_xyy_roguelike_enemy_fire	非玩家派系移动范围增加，进攻时不溃；战场上表现为更高的移速，破甲和冲锋加成，但防御能力大幅削弱。\\n\\n•" "对近战、护盾、防护类型的武将会很不友好\\n\\n•"
"effect_bundles_localised_title_xyy_roguelike_enemy_water	“Strategy”	false" ""
"effect_bundles_localised_description_xyy_roguelike_enemy_water	The" "enemy"
"mod_info_xyy_roguelike_enemy_water	非玩家派系武将解锁多种技能，更高的伏击成功率；战场上表现为技能冷却时间减少，但作战能力大幅削弱。\\n\\n•" "敌方武将会掌握大量技能\\n\\n•"
"mod_xyy_character_roguelike_select_enemy_effect	[[col:flavour]]Choose" "a"
"missions_localised_title_xyy_roguelike_kill_hlyjeb_dark	Hegemony:" "Defeat"
"missions_localised_description_xyy_roguelike_kill_hlyjeb_dark	Fallen" "Cantarella"
"campaign_payload_ui_details_description_kill_hlyjeb_dark	Character" "killed:"
"mission_text_xyy_roguelike_kill_hlyjeb_dark	(Optional)" "Kill"
"mod_title_xyy_roguelike_enemy_earth	""Destiny""	false" ""
"mod_title_xyy_roguelike_enemy_wood	“Courage”	false" ""
"mod_title_xyy_roguelike_enemy_metal	“Entrench”	false" ""
"mod_title_xyy_roguelike_enemy_fire	“Breakout”	false" ""
"mod_title_xyy_roguelike_enemy_water	“Strategy”	false" ""
"mod_info_xyy_roguelike_54" ""
"mission_text_xyy_roguelike_kill_hlyjcm_dark" ""
"effect_bundles_localised_description_xyy_roguelike_17" ""
"campaign_payload_ui_details_description_kill_hlyjdt_dark" ""
"mod_info_xyy_roguelike_38" ""
"incidents_localised_description_xyy_roguelike_enemy_earth_6" ""
"mod_info_xyy_roguelike_craft_accessories_1" ""
"mod_info_xyy_roguelike_max_4" ""
"mod_info_xyy_roguelike_max_1" ""
"mission_text_xyy_roguelike_kill_hlyjda_dark" ""
"map_pins_localised_title_hlyjci_dark" ""
"map_pins_localised_description_hlyjdf_dark" ""
"missions_localised_description_xyy_roguelike_kill_hlyjda_dark" ""
"map_pins_localised_description_hlyjda_dark" ""
"map_pins_localised_description_hlyjck_dark" ""
"mission_text_xyy_roguelike_kill_hlyjdi_dark" ""
"mod_info_xyy_roguelike_10" ""
"mod_info_xyy_roguelike_31" ""
"effect_bundles_localised_title_xyy_roguelike_32" ""
"effect_bundles_localised_description_xyy_roguelike_19" ""
"mod_xyy_roguelike_description_fire" ""
"effect_bundles_localised_title_xyy_roguelike_enemy_wood" ""
"effect_bundles_localised_description_xyy_roguelike_14" ""
"incidents_localised_description_xyy_roguelike_enemy_fire_3" ""
"mod_info_xyy_roguelike_max_character_1" ""
"map_pins_localised_title_hlyjcj_dark" ""
"effect_bundles_localised_title_xyy_roguelike_40" ""
"incidents_localised_description_xyy_roguelike_enemy_water_2" ""
"mod_info_xyy_roguelike_14" ""
"mod_info_xyy_roguelike_53" ""
"effect_bundles_localised_title_xyy_roguelike_max_character_browser_4" ""
"mod_info_xyy_roguelike_the_seven_kings" ""
"mod_info_xyy_roguelike_max_characte_browserr_1" ""
"mod_info_xyy_roguelike_enemy_earth" ""
"mod_info_xyy_roguelike_52" ""
"mod_store_disble_reason_already_have_character" ""
"effect_bundles_localised_title_xyy_roguelike_60" ""
"effect_bundles_localised_description_xyy_roguelike_10" ""
"effect_bundles_localised_description_xyy_roguelike_38" ""
"missions_localised_description_xyy_roguelike_kill_hlyjeb_dark" ""
"effect_bundles_localised_description_xyy_roguelike_craft_accessories_1" ""
"incidents_localised_description_xyy_roguelike_enemy_metal_5" ""
"mod_info_xyy_roguelike_44" ""
"mod_info_xyy_roguelike_craft_accessories" ""
"effect_bundles_localised_title_xyy_roguelike_57" ""
"effect_bundles_localised_title_xyy_roguelike_craft_mounts_1" ""
"effect_bundles_localised_title_xyy_roguelike_21" ""
"effect_bundles_localised_description_xyy_roguelike_craft_armors_1" ""
"incidents_localised_description_roguelike_info_ticket" ""
"mod_xyy_roguelike_description_water" ""
"mod_xyy_roguelike_icon_earth" ""
"dilemmas_localised_title_roguelike_dilemma" ""
"uied_component_texts_localised_string_title_NewState_Text_2000006" ""
"effect_bundles_localised_title_xyy_roguelike_2" ""
"effect_bundles_localised_title_xyy_roguelike_9" ""
"effect_bundles_localised_title_xyy_roguelike_12" ""
"effect_bundles_localised_description_xyy_roguelike_13" ""
"effect_bundles_localised_title_xyy_roguelike_16" ""
"effect_bundles_localised_description_xyy_roguelike_27" ""
"effect_bundles_localised_title_xyy_roguelike_35" ""
"mod_info_xyy_roguelike_34" ""
"effect_bundles_localised_title_xyy_roguelike_38" ""
"effect_bundles_localised_description_xyy_roguelike_41" ""
"effect_bundles_localised_title_xyy_roguelike_48" ""
"effect_bundles_localised_title_xyy_roguelike_49" ""
"effect_bundles_localised_title_xyy_roguelike_max_1" ""
"effect_bundles_localised_description_xyy_roguelike_max_4" ""
"effect_bundles_localised_title_xyy_roguelike_max_character_1" ""
"missions_localised_title_xyy_roguelike_mission_xyyhlyjf" ""
"incidents_localised_title_xyy_roguelike_enemy_earth_2" ""
"incidents_localised_title_xyy_roguelike_enemy_earth_3" ""
"incidents_localised_title_xyy_roguelike_enemy_earth_4" ""
"incidents_localised_title_xyy_roguelike_enemy_wood_1" ""
"incidents_localised_title_xyy_roguelike_enemy_wood_2" ""
"incidents_localised_title_xyy_roguelike_enemy_wood_4" ""
"incidents_localised_title_xyy_roguelike_enemy_metal_4" ""
"incidents_localised_title_xyy_roguelike_enemy_metal_5" ""
"incidents_localised_title_xyy_roguelike_enemy_water_2" ""
"incidents_localised_title_xyy_roguelike_enemy_water_5" ""
"effect_bundles_localised_title_xyy_roguelike_craft_armors" ""
"effect_bundles_localised_title_xyy_roguelike_craft_accessories" ""
"effect_bundles_localised_title_xyy_roguelike_craft_accessories_1" ""
"mod_xyy_roguelike_icon_no_building" ""
"campaign_payload_ui_details_description_kill_hlyjci_dark" ""
"campaign_payload_ui_details_description_kill_hlyjcm_dark" ""
"campaign_payload_ui_details_description_kill_hlyjdi_dark" ""
"effect_bundles_localised_title_dark_character_normal" ""
"mission_text_xyy_roguelike_kill_hlyjcj_dark" ""
"mission_text_xyy_roguelike_kill_hlyjcy_dark" ""
"map_pins_localised_description_hlyjdi_dark" ""
"effect_bundles_localised_title_xyy_roguelike_56" ""
"effect_bundles_localised_title_xyy_roguelike_enemy_water" ""
"mod_xyy_character_roguelike_select_enemy_effect" ""
"mission_text_xyy_roguelike_kill_hlyjeb_dark" ""
"mod_title_xyy_roguelike_enemy_earth" ""
"mod_xyy_roguelike_icon_fire" ""
"mod_xyy_roguelike_icon_metal" ""
"uied_component_texts_localised_string_title_NewState_Text_2000005" ""
"effect_bundles_localised_title_xyy_roguelike_6" ""
"effect_bundles_localised_description_xyy_roguelike_7" ""
"effect_bundles_localised_title_xyy_roguelike_19" ""
"effect_bundles_localised_title_xyy_roguelike_31" ""
"mod_info_xyy_roguelike_32" ""
"effect_bundles_localised_description_xyy_roguelike_40" ""
"effect_bundles_localised_title_xyy_roguelike_47" ""
"mod_info_xyy_roguelike_49" ""
"mod_info_xyy_roguelike_50" ""
"effect_bundles_localised_title_xyy_roguelike_max_4" ""
"effect_bundles_localised_description_xyy_roguelike_max_character_1" ""
"missions_localised_title_xyy_roguelike_mission_easy" ""
"effect_bundles_localised_description_xyy_roguelike_32" ""
"mission_text_xyy_roguelike_kill_hlyjcn_dark" ""
"missions_localised_title_xyy_roguelike_mission_boss_3" ""
"effect_bundles_localised_title_xyy_roguelike_1" ""
"effect_bundles_localised_title_xyy_roguelike_27" ""
"effect_bundles_localised_title_xyy_roguelike_64" ""
"mod_info_xyy_roguelike_6" ""
"effect_bundles_localised_description_xyy_roguelike_31" ""
"mod_info_xyy_roguelike_35" ""
"mod_info_xyy_roguelike_64" ""
"effect_bundles_localised_title_xyy_roguelike_13" ""
"cdir_events_dilemma_choice_details_localised_choice_label_roguelike_dilemmaFIRST" ""
"effect_bundles_localised_title_xyy_roguelike_45" ""
"map_pins_localised_title_hlyjcn_dark" ""
"effect_bundles_localised_title_xyy_roguelike_enemy_earth" ""
"effect_bundles_localised_description_xyy_roguelike_max_character_browser_3" ""
"cdir_events_dilemma_choice_details_localised_choice_label_roguelike_dilemmaSECOND" ""
"mod_info_xyy_roguelike_65" ""
"mod_info_xyy_roguelike_21" ""
"effect_bundles_localised_description_xyy_roguelike_2" ""
"missions_localised_description_xyy_roguelike_mission_boss_2" ""
"incidents_localised_title_xyy_roguelike_enemy_water_6" ""
"effect_bundles_localised_description_xyy_roguelike_55" ""
"effect_bundles_localised_description_xyy_roguelike_53" ""
"effect_bundles_localised_title_xyy_roguelike_14" ""
"mod_info_xyy_roguelike_45" ""
"mod_info_xyy_roguelike_15" ""
"missions_localised_description_xyy_roguelike_mission_normal" ""
"mod_info_xyy_roguelike_62" ""
"effect_bundles_localised_description_xyy_roguelike_43" ""
"effect_bundles_localised_title_xyy_roguelike_62" ""
"mod_info_xyy_roguelike_7" ""
"effect_bundles_localised_description_xyy_roguelike_54" ""
"effect_bundles_localised_description_xyy_roguelike_redraw_1" ""
"effect_bundles_localised_title_xyy_roguelike_30" ""
"effect_bundles_localised_description_xyy_roguelike_3" ""
"effect_bundles_localised_title_xyy_roguelike_3" ""
"effect_bundles_localised_title_xyy_roguelike_20" ""
"effect_bundles_localised_title_xyy_roguelike_43" ""
"mod_info_xyy_roguelike_43" ""
"mod_info_xyy_roguelike_41" ""
"campaign_payload_ui_details_description_xyy_roguelike_mission_normal" ""
"missions_localised_title_xyy_roguelike_mission_hard" ""
"incidents_localised_title_xyy_roguelike_enemy_earth_6" ""
"effect_bundles_localised_description_xyy_roguelike_craft_armors" ""
"campaign_payload_ui_details_description_kill_hlyjck_dark" ""
"missions_localised_title_xyy_roguelike_kill_hlyjcm_dark" ""
"missions_localised_title_xyy_roguelike_kill_hlyjcy_dark" ""
"campaign_payload_ui_details_description_kill_hlyjcy_dark" ""
"missions_localised_title_xyy_roguelike_kill_hlyjdi_dark" ""
"effect_bundles_localised_title_dark_character_hard" ""
"effect_bundles_localised_title_dark_character_easy" ""
"effect_bundles_localised_description_xyy_roguelike_67" ""
"mod_info_xyy_roguelike_67" ""
"effect_bundles_localised_title_xyy_roguelike_67" ""
"effect_bundles_localised_title_xyy_roguelike_enemy_fire" ""
"missions_localised_title_xyy_roguelike_kill_hlyjeb_dark" ""
"mod_info_xyy_roguelike_61" ""
"incidents_localised_title_xyy_roguelike_enemy_fire_5" ""
"mod_info_xyy_roguelike_3" ""
"incidents_localised_title_xyy_roguelike_enemy_fire_4" ""
"effect_bundles_localised_title_xyy_roguelike_max_character_browser_1" ""
"effect_bundles_localised_title_xyy_roguelike_max_character_browser_2" ""
"mission_text_text_treaty_components_war" ""
"mod_info_xyy_roguelike_37" ""
"map_pins_localised_description_hlyjcn_dark" ""
"effect_bundles_localised_title_xyy_roguelike_25" ""
"effect_bundles_localised_title_xyy_roguelike_29" ""
"mod_xyy_roguelike_confirm_wait" ""
"mod_info_xyy_roguelike_28" ""
"effect_bundles_localised_title_xyy_roguelike_44" ""
"effect_bundles_localised_title_xyy_roguelike_58" ""
"mod_xyy_roguelike_confirm" ""
"incidents_localised_description_xyy_roguelike_enemy_earth_4" ""
"incidents_localised_title_xyy_roguelike_enemy_water_3" ""
"mod_info_xyy_roguelike_60" ""
"incidents_localised_title_xyy_roguelike_enemy_metal_1" ""
"mod_xyy_roguelike_icon_water" ""
"mod_xyy_roguelike_description_wood" ""
"mod_xyy_roguelike_icon_wood" ""
"dilemmas_localised_description_roguelike_dilemma" ""
"dilemmas_localised_description_roguelike_dilemma_continue" ""
"effect_bundles_localised_description_xyy_roguelike_1" ""
"effect_bundles_localised_title_xyy_roguelike_8" ""
"effect_bundles_localised_description_xyy_roguelike_9" ""
"mod_info_xyy_roguelike_9" ""
"effect_bundles_localised_title_xyy_roguelike_18" ""
"mod_info_xyy_roguelike_25" ""
"effect_bundles_localised_description_xyy_roguelike_26" ""
"mod_info_xyy_roguelike_29" ""
"effect_bundles_localised_title_xyy_roguelike_28" ""
"mod_info_xyy_roguelike_27" ""
"effect_bundles_localised_title_xyy_roguelike_36" ""
"effect_bundles_localised_description_xyy_roguelike_35" ""
"effect_bundles_localised_title_xyy_roguelike_37" ""
"effect_bundles_localised_description_xyy_roguelike_36" ""
"effect_bundles_localised_description_xyy_roguelike_47" ""
"effect_bundles_localised_description_xyy_roguelike_48" ""
"effect_bundles_localised_description_xyy_roguelike_51" ""
"mod_info_xyy_roguelike_max_2" ""
"effect_bundles_localised_description_xyy_roguelike_max_2" ""
"missions_localised_description_xyy_roguelike_mission_easy" ""
"missions_localised_description_xyy_roguelike_mission_hard" ""
"missions_localised_description_xyy_roguelike_mission_xyyhlyjf" ""
"mod_xyy_character_roguelike_select" ""
"mod_xyy_character_roguelike_select_first" ""
"effect_bundles_localised_description_xyy_roguelike_max_character_browser_4" ""
"mod_info_xyy_roguelike_58" ""
"effect_bundles_localised_description_xyy_roguelike_21" ""
"dilemmas_localised_title_roguelike_dilemma_continue" ""
"mod_info_xyy_roguelike_16" ""
"mod_info_xyy_roguelike_18" ""
"effect_bundles_localised_description_xyy_roguelike_max_3" ""
"incidents_localised_title_roguelike_info_ticket" ""
"effect_bundles_localised_description_xyy_roguelike_craft_weapons_1" ""
"effect_bundles_localised_description_xyy_roguelike_56" ""
"mod_info_xyy_roguelike_17" ""
"campaign_payload_ui_details_description_kill_hlyjda_dark" ""
"effect_bundles_localised_description_xyy_roguelike_8" ""
"mod_info_xyy_roguelike_craft_mounts" ""
"incidents_localised_description_xyy_roguelike_enemy_water_3" ""
"missions_localised_description_xyy_roguelike_kill_hlyjcy_dark" ""
"mod_info_xyy_roguelike_8" ""
"incidents_localised_title_xyy_roguelike_enemy_earth_1" ""
"incidents_localised_description_xyy_roguelike_enemy_earth_1" ""
"incidents_localised_description_xyy_roguelike_enemy_earth_2" ""
"incidents_localised_description_xyy_roguelike_enemy_earth_3" ""
"incidents_localised_description_xyy_roguelike_enemy_wood_2" ""
"incidents_localised_title_xyy_roguelike_enemy_wood_3" ""
"incidents_localised_description_xyy_roguelike_enemy_wood_3" ""
"incidents_localised_description_xyy_roguelike_enemy_wood_4" ""
"incidents_localised_title_xyy_roguelike_enemy_wood_6" ""
"incidents_localised_title_xyy_roguelike_enemy_fire_3" ""
"incidents_localised_description_xyy_roguelike_enemy_fire_2" ""
"incidents_localised_title_xyy_roguelike_enemy_fire_6" ""
"incidents_localised_description_xyy_roguelike_enemy_fire_4" ""
"incidents_localised_title_xyy_roguelike_enemy_water_4" ""
"effect_bundles_localised_title_xyy_roguelike_craft_weapons_1" ""
"effect_bundles_localised_description_xyy_roguelike_craft_mounts_1" ""
"mod_info_xyy_roguelike_craft_mounts_1" ""
"missions_localised_description_xyy_roguelike_kill_hlyjcj_dark" ""
"missions_localised_description_xyy_roguelike_kill_hlyjcm_dark" ""
"mission_text_xyy_roguelike_kill_hlyjdt_dark" ""
"map_pins_localised_title_hlyjdt_dark" ""
"map_pins_localised_description_hlyjdt_dark" ""
"effect_bundles_localised_description_xyy_roguelike_61" ""
"effect_bundles_localised_title_xyy_roguelike_66" ""
"mod_info_xyy_roguelike_sima_yi" ""
"missions_localised_title_xyy_roguelike_kill_hlyjdy_dark" ""
"mission_text_xyy_roguelike_kill_hlyjdy_dark" ""
"missions_localised_description_xyy_roguelike_kill_hlyjdy_dark" ""
"mod_store_disble_reason_the_seven_kings_dead" ""
"mod_info_xyy_roguelike_enemy_wood" ""
"mod_info_xyy_roguelike_enemy_metal" ""
"mod_info_xyy_roguelike_enemy_fire" ""
"mod_info_xyy_roguelike_enemy_water" ""
"mod_title_xyy_roguelike_enemy_wood" ""
"cdir_events_dilemma_choice_details_localised_choice_label_roguelike_dilemma_continueFIRST" ""
"effect_bundles_localised_description_xyy_roguelike_max_1" ""
"mod_info_xyy_roguelike_13" ""
"effect_bundles_localised_description_xyy_roguelike_23" ""
"effect_bundles_localised_title_xyy_roguelike_max_2" ""
"effect_bundles_localised_title_xyy_roguelike_50" ""
"mod_info_xyy_roguelike_63" ""
"mission_text_xyy_roguelike_kill_hlyjci_dark" ""
"mod_title_xyy_roguelike_enemy_water" ""
"effect_bundles_localised_title_xyy_roguelike_redraw_1" ""
"mission_text_xyy_roguelike_kill_hlyjdf_dark" ""
"incidents_localised_description_xyy_roguelike_enemy_fire_1" ""
"mod_info_xyy_roguelike_48" ""
"map_pins_localised_title_hlyjcm_dark" ""
"effect_bundles_localised_description_xyy_roguelike_craft_accessories" ""
"effect_bundles_localised_description_xyy_roguelike_34" ""
"effect_bundles_localised_description_xyy_roguelike_the_seven_kings" ""
"effect_bundles_localised_title_xyy_roguelike_26" ""
"missions_localised_description_xyy_roguelike_mission_ready" ""
"mod_info_xyy_roguelike_craft_armors" ""
"mod_info_xyy_roguelike_30" ""
"mod_info_xyy_roguelike_2" ""
"missions_localised_description_xyy_roguelike_kill_hlyjck_dark" ""
"mod_info_xyy_roguelike_max_3" ""
"effect_bundles_localised_title_xyy_roguelike_46" ""
"mod_info_xyy_roguelike_47" ""
"effect_bundles_localised_description_xyy_roguelike_46" ""
"missions_localised_title_xyy_roguelike_kill_hlyjci_dark" ""
"effect_bundles_localised_title_xyy_roguelike_craft_armors_1" ""
"mod_info_xyy_roguelike_craft_weapons_1" ""
"effect_bundles_localised_description_xyy_roguelike_59" ""
"effect_bundles_localised_title_xyy_roguelike_22" ""
"mod_info_xyy_roguelike_24" ""
"effect_bundles_localised_description_xyy_roguelike_25" ""
"mod_info_xyy_roguelike_23" ""
"effect_bundles_localised_description_xyy_roguelike_24" ""
"effect_bundles_localised_description_xyy_roguelike_30" ""
"effect_bundles_localised_title_xyy_roguelike_max_3" ""
"missions_localised_title_xyy_roguelike_mission_normal" ""
"missions_localised_description_xyy_roguelike_mission_boss_3" ""
"missions_localised_title_xyy_roguelike_mission_boss" ""
"incidents_localised_description_xyy_roguelike_enemy_wood_1" ""
"incidents_localised_description_xyy_roguelike_enemy_metal_4" ""
"incidents_localised_description_xyy_roguelike_enemy_water_6" ""
"incidents_localised_description_xyy_roguelike_enemy_water_5" ""
"effect_bundles_localised_title_xyy_roguelike_53" ""
"mod_xyy_roguelike_icon_stopped" ""
"missions_localised_description_xyy_roguelike_kill_hlyjdi_dark" ""
"map_pins_localised_title_hlyjdf_dark" ""
"effect_bundles_localised_description_xyy_roguelike_63" ""
"effect_bundles_localised_title_xyy_roguelike_63" ""
"effect_bundles_localised_description_xyy_roguelike_64" ""
"effect_bundles_localised_description_xyy_roguelike_sima_yi" ""
"mod_title_xyy_roguelike_enemy_fire" ""
"mod_info_xyy_roguelike_max_character_browser_4" ""
"mission_text_xyy_roguelike_kill_hlyjck_dark" ""
"mod_xyy_roguelike_description_earth" ""
"effect_bundles_localised_description_xyy_roguelike_16" ""
"mod_info_xyy_roguelike_57" ""
"map_pins_localised_description_hlyjcm_dark" ""
"effect_bundles_localised_description_xyy_roguelike_enemy_metal" ""
"missions_localised_description_xyy_roguelike_kill_hlyjdt_dark" ""
"incidents_localised_description_xyy_roguelike_enemy_fire_5" ""
"map_pins_localised_description_hlyjcy_dark" ""
"mod_info_xyy_roguelike_59" ""
"incidents_localised_description_xyy_roguelike_enemy_metal_3" ""
"incidents_localised_description_xyy_roguelike_enemy_metal_6" ""
"incidents_localised_description_xyy_roguelike_enemy_water_1" ""
"incidents_localised_description_xyy_roguelike_enemy_wood_6" ""
"mod_info_xyy_roguelike_55" ""
"map_pins_localised_description_hlyjcj_dark" ""
"campaign_payload_ui_details_description_xyy_roguelike_mission_easy" ""
"incidents_localised_description_xyy_roguelike_enemy_metal_1" ""
"effect_bundles_localised_description_xyy_roguelike_max_character_browser_2" ""
"dilemmas_localised_description_roguelike_dilemma_first_select" ""
"effect_bundles_localised_description_xyy_roguelike_18" ""
"effect_bundles_localised_description_xyy_roguelike_craft_mounts" ""
"effect_bundles_localised_description_xyy_roguelike_37" ""
"effect_bundles_localised_description_xyy_roguelike_66" ""
"missions_localised_description_xyy_roguelike_kill_hlyjcn_dark" ""
"effect_bundles_localised_description_xyy_roguelike_62" ""
"incidents_localised_description_xyy_roguelike_enemy_fire_6" ""
